Sex,Type,Age,Year,
male,incidence,age6569,2000,975
male,incidence,age6569,2001,962
male,incidence,age6569,2002,987
male,incidence,age6569,2003,1063
male,incidence,age6569,2004,1146
male,incidence,age6569,2005,1162
male,incidence,age6569,2006,1131
male,incidence,age6569,2007,1028
male,incidence,age6569,2008,895
male,incidence,age6569,2009,741
male,incidence,age6569,2010,651
male,incidence,age6569,2011,644
male,incidence,age6569,2012,673
male,incidence,age6569,2013,797
male,incidence,age7074,1993,573
male,incidence,age7074,1994,641
male,incidence,age7074,1995,668
male,incidence,age7074,1996,762
male,incidence,age7074,1997,864
male,incidence,age7074,1998,971
male,incidence,age7074,1999,1052
male,incidence,age7074,2000,1043
male,incidence,age7074,2001,943
male,incidence,age7074,2002,881
male,incidence,age7074,2003,878
male,incidence,age7074,2004,704
male,incidence,age7074,2005,739
male,incidence,age7074,2006,763
male,incidence,age7074,2007,731
male,incidence,age7074,2008,815
male,incidence,age7074,2009,898
male,incidence,age7074,2010,943
male,incidence,age7074,2011,905
male,incidence,age7074,2012,850
male,incidence,age7074,2013,667
male,incidence,age7579,1993,434
male,incidence,age7579,1994,363
male,incidence,age7579,1995,302
male,incidence,age7579,1996,356
male,incidence,age7579,1997,361
male,incidence,age7579,1998,339
male,incidence,age7579,1999,369
male,incidence,age7579,2000,424
male,incidence,age7579,2001,474
male,incidence,age7579,2002,487
male,incidence,age7579,2003,546
male,incidence,age7579,2004,580
male,incidence,age7579,2005,606
male,incidence,age7579,2006,526
male,incidence,age7579,2007,575
male,incidence,age7579,2008,522
male,incidence,age7579,2009,440
male,incidence,age7579,2010,417
male,incidence,age7579,2011,491
male,incidence,age7579,2012,470
male,incidence,age7579,2013,546
male,incidence,age8084,1993,201
male,incidence,age8084,1994,195
male,incidence,age8084,1995,193
male,incidence,age8084,1996,192
male,incidence,age8084,1997,175
male,incidence,age8084,1998,174
male,incidence,age8084,1999,149
male,incidence,age8084,2000,144
male,incidence,age8084,2001,139
male,incidence,age8084,2002,164
male,incidence,age8084,2003,161
male,incidence,age8084,2004,174
male,incidence,age8084,2005,182
male,incidence,age8084,2006,213
male,incidence,age8084,2007,235
male,incidence,age8084,2008,241
male,incidence,age8084,2009,253
male,incidence,age8084,2010,254
male,incidence,age8084,2011,288
male,incidence,age8084,2012,252
male,incidence,age8084,2013,220
male,incidence,age85,1993,89
male,incidence,age85,1994,96
male,incidence,age85,1995,97
male,incidence,age85,1996,92
male,incidence,age85,1997,101
male,incidence,age85,1998,90
male,incidence,age85,1999,112
male,incidence,age85,2000,99
male,incidence,age85,2001,92
male,incidence,age85,2002,72
male,incidence,age85,2003,66
male,incidence,age85,2004,60
male,incidence,age85,2005,59
male,incidence,age85,2006,69
male,incidence,age85,2007,72
male,incidence,age85,2008,61
male,incidence,age85,2009,75
male,incidence,age85,2010,87
male,incidence,age85,2011,101
male,incidence,age85,2012,103
male,incidence,age85,2013,114
